Record Sequence Number,T0.010S,T0.020S,T0.022S,T0.025S,T0.029S,T0.030S,T0.032S,T0.035S,T0.036S,T0.040S,T0.042S,T0.044S,T0.045S,T0.046S,T0.048S,T0.050S,T0.055S,T0.060S,T0.065S,T0.067S,T0.070S,T0.075S,T0.080S,T0.085S,T0.090S,T0.095S,T0.100S,T0.110S,T0.120S,T0.130S,T0.133S,T0.140S,T0.150S,T0.160S,T0.170S,T0.180S,T0.190S,T0.200S,T0.220S,T0.240S,T0.250S,T0.260S,T0.280S,T0.290S,T0.300S,T0.320S,T0.340S,T0.350S,T0.360S,T0.380S,T0.400S,T0.420S,T0.440S,T0.450S,T0.460S,T0.480S,T0.500S,T0.550S,T0.600S,T0.650S,T0.667S,T0.700S,T0.750S,T0.800S,T0.850S,T0.900S,T0.950S,T1.000S,T1.100S,T1.200S,T1.300S,T1.400S,T1.500S,T1.600S,T1.700S,T1.800S,T1.900S,T2.000S,T2.200S,T2.400S,T2.500S,T2.600S,T2.800S,T3.000S,T3.200S,T3.400S,T3.500S,T3.600S,T3.800S,T4.000S,T4.200S,T4.400S,T4.600S,T4.800S,T5.000S,T5.500S,T6.000S,T6.500S,T7.000S,T7.500S,T8.000S,T8.500S,T9.000S,T9.500S,T10.000S
4816,0.90097,1.4294,1.4964,1.8868,2.0245,2.1734,2.3559,2.7709,2.7344,2.4441,2.4011,2.178,2.0779,2.0455,1.9402,1.7472,1.6371,1.9865,2.3372,2.4017,2.2733,1.9177,1.6525,1.7983,1.8186,1.7418,1.8333,1.9069,1.9527,1.9918,2.0292,2.0388,1.7429,1.5097,1.5851,1.5741,1.2727,1.3078,1.0519,1.0211,0.98077,0.982,0.98224,0.96817,0.95824,0.85111,0.87359,0.87109,0.88253,0.79541,0.77693,0.80561,0.72021,0.74879,0.81875,0.89988,0.95154,0.933,0.7803,0.84712,0.79634,0.73302,0.75937,0.72189,0.62697,0.54848,0.50375,0.47652,0.40266,0.34586,0.26166,0.21591,0.2079,0.21635,0.21326,0.26659,0.28449,0.29203,0.27219,0.29928,0.29059,0.28264,0.26135,0.2343,0.21971,0.20937,0.20485,0.20104,0.19469,0.18587,0.17532,0.16358,0.15614,0.15267,0.154,0.1631,0.15088,0.13427,0.12353,0.11303,0.10338,0.092729,0.085017,0.07803,0.071828
1231,0.83329,0.84015,0.85378,0.85758,0.86086,0.8655,0.90098,0.94156,0.94754,0.96082,0.98187,1.0093,1.0186,1.0247,1.0364,1.0434,1.0695,1.0727,1.0688,1.0556,1.0784,1.1177,1.1274,1.1527,1.1634,1.1401,1.1299,1.1454,1.1835,1.1956,1.1788,1.2014,1.2558,1.2612,1.2873,1.3021,1.3946,1.3415,1.5817,1.7848,1.771,1.6013,1.5367,1.5852,1.5725,1.3941,1.354,1.3881,1.513,1.8207,1.8142,1.7331,1.6431,1.6688,1.7257,1.757,1.769,1.7614,1.8137,1.7841,1.7019,1.7829,1.776,2.5837,2.8304,2.5328,2.325,2.097,1.6316,1.4421,1.2579,1.0308,0.79826,0.72379,0.68471,0.60031,0.51486,0.44017,0.35278,0.28027,0.2659,0.25166,0.21807,0.17082,0.14272,0.1194,0.109,0.10006,0.087116,0.080203,0.080435,0.081239,0.081266,0.079692,0.075923,0.068871,0.064522,0.055268,0.046883,0.040386,0.033743,0.0276,0.022367,0.020574,0.019697
1503,0.69043,0.69604,0.69615,0.69818,0.70396,0.70563,0.70813,0.71617,0.7198,0.72691,0.73078,0.73474,0.73587,0.73819,0.74598,0.75163,0.76832,0.78263,0.79977,0.79981,0.80199,0.82941,0.84175,0.83806,0.8649,0.87745,0.88889,0.87295,0.89722,0.95508,0.96453,0.90973,0.89459,0.93253,0.89559,0.96338,0.94751,0.91249,0.93227,0.9077,0.79886,0.85387,0.94851,0.93514,0.8801,0.82567,0.89827,0.9018,0.87655,0.81988,0.80295,0.83869,0.84741,0.83759,0.84743,0.90619,0.87544,1.055,1.2829,1.2152,1.086,0.99124,1.1514,1.0728,0.95863,0.92969,1.0438,1.1727,1.1604,0.98784,0.78846,0.75176,0.78264,0.72664,0.81478,0.74552,0.72738,0.68415,0.5152,0.41283,0.40603,0.37592,0.36764,0.35083,0.31708,0.30303,0.33333,0.3598,0.38092,0.38623,0.3732,0.35427,0.3448,0.3346,0.31357,0.25493,0.21833,0.18814,0.15512,0.12761,0.1078,0.089488,0.076761,0.065834,0.056511
1505,0.46736,0.48854,0.49217,0.5143,0.51649,0.52079,0.51842,0.50757,0.52205,0.55924,0.57509,0.57295,0.56668,0.5594,0.56233,0.57352,0.62514,0.62118,0.57963,0.58008,0.62451,0.63342,0.66459,0.68143,0.72544,0.75219,0.74339,0.71667,0.71313,0.75124,0.74526,0.7394,0.74796,0.72889,0.70554,0.69136,0.73489,0.76125,0.77388,0.81235,0.85737,0.89293,0.94616,0.95707,1.0059,1.026,0.99018,1.0334,1.0687,1.0883,1.1257,1.1238,1.0658,1.0255,0.9992,1.0398,1.1018,1.0059,0.93884,0.85718,0.81735,0.79197,0.81071,0.80866,0.77119,0.7082,0.69163,0.70373,0.75208,0.74475,0.76132,0.77251,0.73805,0.67292,0.63393,0.62224,0.60576,0.58589,0.53494,0.5585,0.56285,0.54035,0.4911,0.42978,0.43433,0.42905,0.41643,0.39338,0.36733,0.37118,0.37101,0.36687,0.36026,0.35244,0.34381,0.32854,0.33204,0.33287,0.33035,0.32586,0.31908,0.30842,0.29064,0.27254,0.25481
1517,0.73893,0.7418,0.74371,0.74632,0.74562,0.74606,0.74699,0.74875,0.7486,0.75029,0.74902,0.74657,0.74547,0.7458,0.75445,0.76473,0.7789,0.79035,0.81104,0.81775,0.82593,0.83207,0.83669,0.84524,0.85386,0.85204,0.87905,0.94456,0.95747,1.0272,1.0202,1.0567,1.0972,1.06,1.2488,1.4101,1.3572,1.191,1.3154,1.4225,1.324,1.352,1.4591,1.5132,1.615,1.5318,1.384,1.3585,1.3005,1.4594,1.6648,1.7672,1.8584,1.9046,1.864,1.7853,1.658,1.5233,1.5279,1.4187,1.4593,1.3887,1.6642,2.047,2.4082,2.5232,2.3039,1.8788,1.7186,1.5898,1.3664,1.0715,1.0251,1.102,1.0817,1.0194,0.96409,0.85615,0.58618,0.3727,0.32188,0.29328,0.26017,0.26663,0.25935,0.21303,0.19195,0.17169,0.13091,0.11528,0.10788,0.10049,0.084267,0.076713,0.073823,0.061364,0.051065,0.042882,0.036816,0.034054,0.030514,0.027785,0.024146,0.020337,0.017859
1120,0.68297,0.68167,0.68342,0.68533,0.69112,0.69304,0.69496,0.69907,0.70052,0.70651,0.70869,0.71296,0.71248,0.71125,0.7104,0.72122,0.73823,0.73821,0.72909,0.7267,0.74624,0.79043,0.81538,0.8013,0.82917,0.89745,0.97833,1.079,1.0051,1.0277,1.0777,1.1329,1.2097,1.325,1.4192,1.7569,1.8627,1.7719,1.5296,1.4602,1.462,1.4721,1.5758,1.6352,1.7778,1.8638,1.7899,1.7671,1.8919,1.9664,1.7939,1.5053,1.304,1.2822,1.365,1.4421,1.4645,1.3552,1.2477,1.2681,1.2713,1.2478,1.3317,1.3346,1.3498,1.2839,1.2741,1.2918,1.722,2.0633,1.9234,1.5296,1.1744,1.0088,1.0648,1.0783,1.0524,1.0366,0.85235,0.60584,0.54765,0.48944,0.39255,0.33645,0.28944,0.25693,0.24158,0.2255,0.19739,0.16642,0.1377,0.12766,0.1118,0.097064,0.083353,0.060755,0.046362,0.04073,0.035732,0.031326,0.027513,0.024252,0.021467,0.019095,0.017065
5482,1.7932,1.8383,1.8583,1.9043,1.9859,1.9965,2.0018,2.1102,2.1509,2.3345,2.382,2.35,2.3229,2.3224,2.4468,2.5459,2.4704,2.77,2.8483,2.7507,2.6662,2.7344,2.9584,2.9692,2.8587,2.9425,2.7424,2.466,2.4273,2.7029,2.818,2.9734,2.9022,2.6336,2.7834,3.2217,3.0433,3.2663,3.1467,4.2011,3.8618,3.5712,4.3701,4.5353,4.8148,5.0129,4.0892,3.5526,3.1826,3.0803,3.3291,2.6211,2.3375,2.1149,1.9048,1.5718,1.3617,1.2115,1.057,1.1985,1.145,0.83153,0.7144,0.57168,0.49295,0.43733,0.41129,0.39729,0.30418,0.25573,0.20493,0.16695,0.15174,0.14348,0.13688,0.1322,0.11192,0.090161,0.076795,0.0672,0.060669,0.054809,0.049529,0.03959,0.0338,0.033239,0.031688,0.028787,0.027964,0.026857,0.02675,0.02715,0.026602,0.025455,0.023395,0.020491,0.015574,0.014019,0.01176,0.0099937,0.0090461,0.0082564,0.0075624,0.0069102,0.0063245
5657,1.3857,1.3855,1.4118,1.4571,1.5981,1.6212,1.8039,1.8602,1.8771,2.1477,2.2627,2.3633,2.369,2.365,2.2285,2.0871,2.0283,2.0711,2.6901,2.6568,2.6578,2.7998,2.916,2.8742,3.317,3.7947,4.6197,3.8847,4.0555,3.8727,4.1572,4.2724,3.7708,3.1798,3.1105,2.9952,3.0843,2.8973,3.034,2.6964,2.6109,2.5137,2.2601,2.4752,2.5956,2.186,2.0792,2.1562,2.0891,1.8504,1.8439,1.7906,1.7484,1.6851,1.6264,1.7657,1.7439,1.5885,1.3824,1.0884,1.0234,1.0634,0.98234,0.98274,1.0697,0.97484,0.87833,0.75728,0.7546,0.75906,0.75102,0.61937,0.56235,0.48028,0.37514,0.32282,0.31045,0.28917,0.26203,0.20795,0.19748,0.18425,0.15539,0.14269,0.128,0.11511,0.10951,0.10385,0.092772,0.082956,0.074162,0.066274,0.063005,0.063398,0.062422,0.056499,0.056394,0.052408,0.045213,0.039141,0.034582,0.030365,0.026399,0.023106,0.020111
5658,1.0501,1.0822,1.0919,1.1168,1.1701,1.1759,1.1722,1.193,1.1962,1.2871,1.3709,1.4093,1.3844,1.349,1.4298,1.5286,1.6642,1.7195,1.7124,1.6796,1.8407,1.9114,1.9131,1.8485,1.8272,1.9114,1.8341,1.8953,2.0069,2.4377,2.4976,2.7685,2.9813,3.2563,3.3336,3.8321,3.674,3.1774,2.5708,2.4624,2.5203,2.5723,2.5126,2.3289,2.113,1.6839,1.7723,1.8136,1.8526,1.6864,1.6153,1.4852,1.4527,1.408,1.3037,1.0796,0.88839,0.67362,0.59876,0.57002,0.6008,0.61896,0.54172,0.58706,0.53015,0.53456,0.49879,0.4479,0.2916,0.26673,0.33306,0.2915,0.23012,0.17911,0.15203,0.15913,0.16113,0.16442,0.14911,0.15349,0.15933,0.15865,0.16386,0.16721,0.1511,0.13522,0.12515,0.11617,0.10493,0.095668,0.087069,0.079696,0.072083,0.06411,0.056768,0.04029,0.032087,0.027893,0.023893,0.020199,0.019408,0.017846,0.016062,0.01462,0.01343
4856,0.57654,0.57573,0.57627,0.57545,0.5827,0.58279,0.58466,0.5863,0.58796,0.59951,0.60404,0.60825,0.61337,0.61809,0.62393,0.62555,0.62607,0.64102,0.71811,0.77431,0.8248,0.89574,0.79021,0.74226,0.69774,0.73578,0.74707,0.79263,0.86755,0.82792,0.83616,0.83099,0.84733,0.79741,0.96438,0.90641,0.85458,0.80735,0.73184,0.77432,0.83465,0.87819,0.9242,0.99186,0.99747,0.9054,0.90895,0.95224,0.99786,0.97145,0.89873,0.86563,0.80133,0.75279,0.72225,0.7719,0.74078,0.67388,0.6539,0.74249,0.76642,0.78352,0.84711,0.776,0.73763,0.87937,0.95241,0.83005,0.7969,0.89874,0.85635,0.77686,0.7749,0.81209,0.86328,0.97024,1.0789,1.1268,1.0758,0.9461,0.86092,0.77927,0.6299,0.50097,0.38388,0.29655,0.26254,0.2335,0.18954,0.15347,0.13011,0.11188,0.097147,0.087437,0.07864,0.067989,0.061482,0.057973,0.053703,0.048402,0.042872,0.037883,0.033544,0.029672,0.026129
